date,time,millis,ax,ay,az,rollrate,pitchrate,yawrate,roll,pitch,yaw,speed,course,latitude,longitude,altitude,pdop,hdop,vdop,epe,fix,satellites_view,satellites_used,temp
140214,74852200,1392364131182.354,-0.6471,-0.2059,-10.6003,0.6857,-0.7428,0.8571,-0.5,0.76,130.6,0.0,0.0,51.029725,13.731513,0.0,4.15,2.64,3.2,3.12,3,7,5,30.86
140214,74852300,1392364131233.481,-0.9806,0.451,-10.3061,-0.5142,-0.6285,1.0857,-0.53,0.78,130.5799,52.96,126.42,51.029725,13.731513,131.23,4.15,2.64,3.2,3.12,3,7,5,30.86
140214,74852300,1392364131253.4958,-0.8237,0.4216,-10.6101,-0.5142,-0.0571,1.1428,-0.55,0.77,130.55,52.96,126.42,51.029725,13.731513,131.23,4.15,2.64,3.2,3.12,3,7,5,30.86
140214,74852300,1392364131277.7,-0.6962,-0.0098,-10.414,0.3428,0.2857,1.1428,-0.56,0.76,130.53,52.96,126.42,51.029725,13.731513,131.23,4.15,2.64,3.2,3.12,3,7,5,30.86
140214,74852300,1392364131309.133,-0.7256,-0.4412,-9.8354,0.5142,1.0857,1.1428,-0.5699,0.78,130.51,52.96,126.42,51.029725,13.731513,131.23,4.15,2.64,3.2,3.12,3,7,5,30.86
140214,74852300,1392364131353.522,-0.2059,0.0882,-9.806,0.8,2.1142,1.3714,-0.5699,0.77,130.49,52.96,126.42,51.029717,13.73153,131.23,4.15,2.64,3.19,3.11,3,7,5,30.86
140214,74852400,1392364131382.654,-0.1961,0.1274,-9.7276,0.7428,1.7142,1.4285,-0.58,0.79,130.46,52.96,126.55,51.029717,13.73153,131.26,4.15,2.64,3.19,3.11,3,7,5,30.86
140214,74852400,1392364131410.864,-0.4314,-0.2255,-10.4042,0.9142,0.2857,1.4285,-0.5999,0.82,130.44,52.96,126.55,51.029717,13.73153,131.26,4.15,2.64,3.19,3.11,3,7,5,30.86
140214,74852400,1392364131430.603,-1.059,-0.0784,-10.208,1.0857,0.3428,1.4285,-0.61,0.84,130.41,52.96,126.55,51.029717,13.73153,131.26,4.15,2.64,3.19,3.11,3,7,5,30.86
140214,74852400,1392364131469.7102,-0.8433,-0.3628,-10.4042,1.2,0.8,1.6571,-0.61,0.87,130.38,52.96,126.55,51.029717,13.73153,131.26,4.15,2.64,3.19,3.11,3,7,5,30.86
140214,74852400,1392364131509.2559,-1.1865,0.0,-9.6883,1.0857,-0.4,1.4285,-0.62,0.88,130.35,52.96,126.55,51.029709,13.731547,131.26,4.14,2.64,3.19,3.1,3,7,5,30.86
140214,74852500,1392364131534.596,-0.1274,-0.2451,-10.3944,1.4285,0.6857,1.3142,-0.6599,0.93,130.3299,52.94,126.05,51.029709,13.731547,131.21,4.14,2.64,3.19,3.1,3,7,5,30.86
140214,74852500,1392364131553.608,-0.0294,-0.2353,-9.5216,1.9428,1.6571,1.4857,-0.6599,0.96,130.3,52.94,126.05,51.029709,13.731547,131.21,4.14,2.64,3.19,3.1,3,7,5,30.86
140214,74852500,1392364131585.163,0.8237,-0.5589,-9.9923,2.1142,2.6857,1.3714,-0.6899,1.01,130.27,52.94,126.05,51.029709,13.731547,131.21,4.14,2.64,3.19,3.1,3,7,5,30.86
140214,74852500,1392364131616.873,0.3824,-0.8629,-8.9333,2.0,2.0571,1.3714,-0.6999,1.04,130.24,52.94,126.05,51.029709,13.731547,131.21,4.14,2.64,3.19,3.1,3,7,5,30.86
140214,74852500,1392364131646.6938,0.1961,-0.4216,-9.7668,1.4285,2.7428,1.2571,-0.75,1.09,130.21,52.94,126.05,51.029701,13.731564,131.21,4.15,2.64,3.2,3.1,3,7,5,30.86
140214,74852600,1392364131689.534,0.3824,-0.4118,-9.7962,1.6571,0.9714,1.2571,-0.7599,1.12,130.18,52.91,126.07,51.029701,13.731564,131.24,4.15,2.64,3.2,3.1,3,7,5,30.86
140214,74852600,1392364131725.125,0.3235,-0.5295,-9.9825,1.6571,0.8571,1.3714,-0.7899,1.16,130.15,52.91,126.07,51.029701,13.731564,131.24,4.15,2.64,3.2,3.1,3,7,5,30.86
140214,74852600,1392364131765.1948,0.2157,-0.1667,-9.8354,1.8857,0.6857,1.2,-0.81,1.18,130.12,52.91,126.07,51.029701,13.731564,131.24,4.15,2.64,3.2,3.1,3,7,5,30.86
140214,74852600,1392364131785.286,-0.2647,-0.3137,-10.0315,1.3714,0.5714,1.1428,-0.83,1.22,130.1,52.91,126.07,51.029701,13.731564,131.24,4.15,2.64,3.2,3.1,3,7,5,30.86
140214,74852600,1392364131837.048,0.657,-0.3235,-10.0315,1.4285,0.8,1.2571,-0.86,1.25,130.07,52.91,126.07,51.029693,13.731581,131.24,4.14,2.64,3.19,3.1,3,7,5,30.86
140214,74852700,1392364132056.668,0.3039,-0.3235,-9.9237,1.2,1.3714,1.4857,-0.8799,1.29,130.04,52.87,126.28,51.029693,13.731581,131.24,4.14,2.64,3.19,3.1,3,7,5,30.86
140214,74852700,1392364132091.719,0.657,-0.049,-9.8844,2.1142,2.3428,1.3142,-0.9099,1.32,130.0,52.87,126.28,51.029693,13.731581,131.24,4.14,2.64,3.19,3.1,3,7,5,30.86
140214,74852700,1392364132124.7039,0.657,-0.049,-10.1688,1.6571,2.1142,1.6571,-0.9199,1.34,129.97,52.87,126.28,51.029693,13.731581,131.24,4.14,2.64,3.19,3.1,3,7,5,30.86
140214,74852700,1392364132153.807,-0.4118,-0.5785,-10.3453,1.3142,0.6857,1.7714,-0.9499,1.3899,129.93,52.87,126.28,51.029693,13.731581,131.24,4.14,2.64,3.19,3.1,3,7,5,30.86
140214,74852700,1392364132189.311,-0.2353,-0.5197,-10.2767,0.4,0.2285,1.6,-0.96,1.42,129.9,52.87,126.28,51.029685,13.731598,131.24,4.15,2.64,3.2,3.09,3,7,5,30.86
140214,74852800,1392364132233.564,-1.0492,-0.353,-10.4728,0.2285,-0.9142,1.7714,-0.9799,1.44,129.86,52.86,125.65,51.029685,13.731598,131.24,4.15,2.64,3.2,3.09,3,7,5,30.86
140214,74852800,1392364132249.243,-0.9413,-0.1765,-10.5709,-0.0571,-0.8,1.7714,-1.02,1.48,129.8299,52.86,125.65,51.029685,13.731598,131.24,4.15,2.64,3.2,3.09,3,7,5,30.86
140214,74852800,1392364132328.435,-0.6177,-0.5589,-10.159,-0.1142,-0.1142,2.0,-1.0399,1.51,129.79,52.86,125.65,51.029685,13.731598,131.24,4.15,2.64,3.2,3.09,3,7,5,30.86
140214,74852800,1392364132366.009,-0.7256,-0.5687,-9.9237,-0.5714,0.8571,1.8285,-1.08,1.54,129.75,52.86,125.65,51.029685,13.731598,131.24,4.15,2.64,3.2,3.09,3,7,5,30.86
140214,74852800,1392364132406.117,0.1078,-0.1372,-10.0904,-0.2857,1.5428,1.9428,-1.0999,1.54,129.71,52.86,125.65,51.029677,13.731615,131.24,4.14,2.64,3.19,3.08,3,7,5,30.86
140214,74852900,1392364132469.198,-0.3922,-0.2843,-10.0021,0.1714,2.0571,1.8285,-1.1399,1.57,129.67,52.82,125.76,51.029677,13.731615,131.27,4.14,2.64,3.19,3.08,3,7,5,30.86
140214,74852900,1392364132492.9731,-0.6962,-0.4608,-10.1688,-0.2285,0.5142,2.1142,-1.1399,1.59,129.62,52.82,125.76,51.029677,13.731615,131.27,4.14,2.64,3.19,3.08,3,7,5,30.86
140214,74852900,1392364132539.378,-1.2257,-0.4804,-9.7374,0.0,0.1142,2.0,-1.1699,1.6,129.5799,52.82,125.76,51.029677,13.731615,131.27,4.14,2.64,3.19,3.08,3,7,5,30.86
